titulo,maisTocada,letra,tamanho,polaridade,subjetividade,sentimento,keywords
Balada de Madame Frigidaire,0,"Ando pós-modernamente apaixonado pela nova geladeira. Primeira escrava branca que comprei, veio e fez a revolução. Esse eterno feminino do conforto industrial injetou-se em minha veia, dei bandeira! e ao por fé nessa deusa gorda da tecnologia gelei de pura emoção!  Ora! desde muito adolescente me arrepio ante empregada debutante. Uma elétrica doméstica então... Que sex-appeal! Dá-me o frio na barriga! Essa deusa da fertilidade, ready made a la Duchamp, já passou de minha amante Virou super-star, a mulher ideal, mais que mãe, mais que a outra... Puta amiga! Mister Andy, o papa pop, e outro amigo meu xarope se cansaram de dizer: Pra que Deus, Dinheiro e Sexo, Ideal, Pátria, Família pra quem já tem frigidaire? É Freud, rapaziada! Vir a cair na cantada dum objeto mulher. Eu me confundo, madame! E a classe média que mame se o céu, a prazo, se der! Que brancorno abre e fecha sensual dessa Nossa Senhora Ascéptica! Com ela eu saio e traio a televisão, rainha minha e de vocês. Dona frigidaire me come... But no kids double income! Filho compromete a estética! Como Edipo-Rei momo, como e tomo tudo dela... Deleites da frigidez! Inventores de Madame Frigidaire, peço bis! Muito obrigado! Afinal, na geladeira, bem ou mal, pôs-se o futuro do país. E um futuro de terceira, posto assim na geladeira, nunca vai ficar passado. Queira Deus que no fim da orgia, já de cabecinha fria, eu leve um doce gelado! Mister Andy, o papa pop, e outro amigo meu xarope, se cansaram de dizer: - Pra que Deus, Dinheiro e Sexo, Ideal, Pátria, e Família pra quem já tem frigidaire? É Freud, rapaziada! Vir a cair na cantada dum objeto mulher... Mas que trocadilho infame! La vraie Ballade des Dames du Temps Jadis... au contraire! ",1715,0.05843358650278292,0.5171266233766233,Neutro,"frigidaire, geladeira, mulher, "
Balada do Amor,0,"Não quero amar, não! Nunca mais que esse negocio de amor já não se faz sem punhais. Mister dos mistérios tais Ah! Eu nasci perdedor. Pra que mentir de fingidor das dores tão reais. Que romantismo e insolência torna-se o amor em violência só à paixão luz natural tesão de deusa pagã que vence o amor a La D.Juan certeza e gloria de fazer o mal. Amor que move o sol e outras estrelas... Ah! Quem penou a luz delas, esses eu conheço de outros carnavais. Deixem-me ser aprendiz do amor perverso, do amor feliz. Lugar comum de anjos e animais.  ",540,0.20756578947368426,0.6078947368421052,Positivo,"amor, luz, quero, "
Bebelo,0,b be bel b     belo be    belo   belo bel   belo bel   belo   belo   belo   belo        belo   belo   belo   belo         É     B  O   B  A   G E M b             bla     bla     bla ba            bla     bla     bla  bal           B        L       A b     bala ba    bala    bala bal   bala bal   bala    bala   bala   bala       bala    bala   bala	 bala       E  M    B  A   L  A    G E M	               tra      tra     tra               tra      tra     tra               T         R        A  ,498,0.8500000000000003,1.0,Positivo,"belo, bala, b, "
Beijo Molhado,0,"Um beijo molhado, escandalizado Mas sintonizado em nossa estação... Um beijo comprado no supermercado Transistorizado beijo do Japão... Only you, only you sabe dar!  Marilyn, Greta, Marlene Deusas que eu amei com as mãos A fumaça azul do cinema Poeira de estrelas, de sexo, ilusão Menina, quanta saúde! Fascination, Holywood de cartão postal, lamê. Tesouro da juventude, cuba libre, anti-ilha do tesouro Que eu ganhei na matine Ie, ie, ie, ie, ie, ie, only you (bis) Moças, bonecas de louça, fofinhas, dolores de mi pasión Oh! Diana suburbana, sulamericana, suja de batom Oh! deusa da discoteque! Oh! musa do fliperama, meu bichinho de neon Vamos, de motocicleta, tomar um sorvete Na lanchonete sempre rola um som Only you, only you sabe ser, sabe dar Que coisa louca Que céu da boca! Um beijo no carro No banco de trás Pelvis no rock Me pegue, me toque Saques de sax Você é demais! Al dia lá delle cose piu belle Ci sei tu, ci sei tu Al di lá, delle stille Ci sei tu perme. ",975,0.014705882352941175,0.5882352941176472,Neutro,"ie, beijo, sabe, "
Bel Prazer,0,"Libertar a carne e o espírito Coração, cabeça e estômago; Libertar a carne e o espírito Coração, cabeça e estômago;  O verbo, o ventre, o pé, o sexo, o cérebro: Tudo o que pode ser e ainda não é. O verbo, o ventre, o pé, o sexo, o cérebro: Tudo o que pode ser e ainda não é. Teu corpo é meu coro, oh! irene. E eu quero é ir, irene preta, ao bom humor. Só o homem feito, o homem forte, Não tem peito pra chorar, En la vereda tropical Hay cana e canela e crecen las palmas Y yo soy un hombre sincero Quero um ombro pra abraçar. En la vereda tropical Hay cana e canela e crecen las palmas Y yo soy un hombre sincero Quero um ombro pra abraçar. Achar ou inventar um lugar, Tão humano como o corpo, Onde pensar e gozar, Seja livre e tão legal: Como razões de estado Ou como fazer justiça; Como palavras num muro Ou escrever num jornal; Entrar ou sair da escola, Mulher-homem, homem-mulher; Como luar no sertão, Como lua artificial, Como roupas comuns, Como bandeiras agitadas. Festival estranho: festa, Feriado nacional Como roupas comuns, Como bandeiras agitadas. Festival estranho: festa, Feriado nacional ",1103,0.1392156862745098,0.6215686274509804,Neutro,"quero, libertar, carne, "
Bossa Em Palavrões,0,"Oh, não me telefones nunca mais Longe as falas sensuais dentre os lençóis Pois tua voz diz no computador, com puta dor Que outra voz paz; jaz muda já lá atrás No tempo em que falavam os animais  Não compro às violeteras imorais Pois não bato em mulher nem com uma flor São de tal arte os negócios do amor, que sem pudor É posto a parte qualquer amador O amor é coisa pra profissionais Sem telefone não me cantarias Pois eu, sem flores como em tantos dias Cortara na palmeira e em rubro uns corações Comprar a rosa a faz ou não ser minha Me ouves tão perto, a culpa é só da linha Sorriso, amor e flor são hoje bossa em palavrões A gente cega a quem Deus quer perder Faz ver mais no milhão que no prazer. ",703,0.15000000000000002,0.5019607843137255,Neutro,"pois, amor, voz, "
Brasileiramente Linda,0,"Olha-me, oh, yes! oh, yes! Brasileiramente linda, oh, yes! oh, yes! Brasileiramente linda.  Mente brasileira mente lindamente brasileira Envolve-me, oh, yes! oh, yes! Brasileiramente linda, oh, yes! oh, yes! Lindamente brasileira. Eu não vou querer... O amor somente é tão banal. Busco a paixão fundamental, Edípica e vulgar, De inventar meu próprio ser. Oh! senhora dona cândida, Coberta de ouro e prata: Descubra seu corpo-rosto, Nós queremos ver-lhe a alma. Antes que algum rouxinol Diga que é dia, é de manhã, O sol já vem: here comes the sun! Vem, estrela camponesa, Vênus, nuvem nua, lua nova, anjo fêmea Beija-me, oh, yes! oh, yes! Como se eu fosse um homem livre, oh, yes! oh, yes! Como um gesto primitivo, oh, yes! oh, yes! Do amor humano, animal, substantivo... Do amor humano, moreno, brasileiro. No brasil e no estrangeiro, O maior amor do ano no cinema americano. ",877,0.40056200592885377,0.6357048748353096,Positivo,"yes, amor, brasileiramente, "
Brincando Com a Vida,0,"Eu escolhi a vida como minha namorada,  com quem vou brincar de amor a noite inteira.  Eu estou sempre em perigo e a minha vida sempre está por um triz. Se vejo correr uma estrela no céu, eu digo: - Deus te guie, zelação. Amanhã vou ser feliz. É caminhando que se faz o caminho. ( Quem dera a juventude a vida inteira.) Eu escolhi a vida como minha namorada, com quem vou brincar de amor a noite inteira. Vida, eu quero me queimar no teu fogo sincero. (Espero que a aurora chegue logo.) Vida, eu não aceito, não! A tua paz, porque meu coração é delinquente juvenil suicida sensível demais. Vida, minha adolescente companheira, a vertigem, o abismo, me atrai: é esta a minha brincadeira. Eu estou sempre em perigo: o dia D, a hora H, a corda bamba, o bang, o clic do gatilho... Vida, agora eu te conheço. (Calma! A tudo eu prefiro a minha alma. E quero que isto seja o meu brilho.) Vida agora eu te conheço. (Calma! A tudo eu prefiro a minha alma. E quero que isto seja o meu brilho e o meu preço.) ",998,0.20300925925925925,0.5273148148148148,Positivo,"vida, vou, inteira, "
Brotinho de Bambu,0,"Oh! Meu brotinho de bambú Delicadeza de rosal amante. Um leque, um chá da china, um hai-cai és tu Menina moça, fina massa, porcelana  Rã de manhã de sol de rouxinol Meu e, meu vê, meu a(h!) xé, Ié, Ié E é a clara caligrafia lê A alegria com que encanto é! E a melodia em que me verso vê A energia com que digo: Dê A primazia a ser feliz e sê já! ",346,0.18541666666666665,0.6388888888888891,Neutro,"vê, ié, brotinho, "
Canção de Gesta de Um Trovador Eletrônico,0,"O som do alto falante Rolava e me dava um toque E Chuck Berry, berrando Em sua guitarra, era um choque Cometas Halley passando, Astros no pó de Woodstock, Cabeças, pedras rolantes Jim, Jimi, John, Janis Joplin E a moçada do subúrbio, Cinema, topetes, motos... Rock, rock, rock, rock, rock,  Cai na estrada tirana: (A juventude é um dom!) Garotas, sonhos, mil transas, Como dar bandeira é bom! Olhando a cidade grande Cheia de fúria e de som; Querendo ser uma estrela De sexo, laser e neon... Cidade grande é uma droga Mas o rock dá o tom Rock, rock, rock, rock, rock, São mil milhões de habitantes deste parque industrial: Negros, mulheres, menores Filhos da crise geral Iguais pela mesma bomba Que vai cair no quintal Ídolo de Deus dos esgotos A musa urbana me fez Meu sucesso é saber disso E bater tudo pra vocês Num rock, rock, rock, rock, rock. ",849,0.061388888888888875,0.3250000000000001,Neutro,"rock, som, mil, "
Carisma,0,"Deu a vida pelos seus: isto é mais forte que a morte, mais importante que Deus; que Deus e o Mundo; que Deus e todo mundo.  Sua voz, morta, ainda canta; ainda espanta o mau agouro, nessa terra, onde o silêncio, literalmente, é de ouro. Eu nasci lá, numa terra, onde o céu é o próprio chão. ",290,0.15714285714285714,0.6238095238095237,Neutro,"deus, mundo, ainda, "
Caso Comum de Trânsito,0,"Faz tempo que ninguém canta uma canção falando fácil... claro-fácil, claramente... das coisas que acontecem todo dia, em nosso tempo e lugar. Você fica perdendo o sono, pretendendo ser o dono das palavras, ser a voz do que é novo; e a vida, sempre nova, acontecendo de surpresa, caindo como pedra o povo. À tarde, quando eu volto do trabalho, mestre Joaquim pergunta assim pra mim: - Como vão as coisas ? Como vão as coisas ? Como vão as coisas, menino ?  E eu respondo assim: - Minha namorada voltou para o norte, ficou quase louca e arranjou um emprego muito bom. Meu melhor amigo foi atropelado, voltando para casa... Caso comum de trânsito, caso comum de trânsito, caso comum de trânsito. Pela geografia, aprendi que há, no mundo, um lugar, onde um jovem como eu pode amar e ser feliz. Procurei passagem: avião, navio... Não havia linha praquele país. - E aquele poeta, moreno e latino, que, em versos de sangue, a vida e o amor escreveu... Onde é que ele anda? - Ninguém sabe dele... - Fez uma viagem ? - Não, desapareceu. Deita ao meu lado. Dá-me o teu beijo. Toda a noite o meu corpo será teu. Eles vêm buscar-me na manhã aberta: a prova mais certa que não amanheceu. Não amanheceu, menina. Não amanheceu, ainda ",1219,0.15547028728846912,0.4725993703266429,Neutro,"coisas, vão, caso, "
Clamor No Deserto,0,"Eh! meus amigos, um novo momento precisa chegar. Eu sei que é difícil começar tudo de novo, mas eu quero tentar.  Minha garota não me compreende e diz que, desse jeito, eu apresso o meu fim. Fala que o pai dela é lido e corrido e sabe que a América toda é assim. Quem me conhece me pede que seja mais alegre... é que nada acontece que alegre meu coração. Dá no jornal, todo dia, o que seria o meu canto, mas o negócio é cantar o luar do sertão. Eh! meus amigos, um novo momento precisa chegar. Eu sei que é difícil começar tudo de novo, mas eu quero tentar. Ano passado, apesar da dor e do silêncio, eu cantei como se fosse morrer de alegria. Hoje, eu lhe falo em futuro e você tira o revólver, puxa o talão de cheque e me dá um bom dia. Sei que não é possivel dizer todas as coisas, nesse feliz ano novo que a gente ganhou. Mas falta só algum tempo para 1-9-8-4. Agora estou em paz: o que eu temia chegou! ",907,0.21159673659673656,0.5337412587412588,Positivo,"novo, sei, eh, "
Comentários a Respeito de John,1,"Saia do meu caminho, eu prefiro andar sozinho Deixem que eu decido a minha vida Não preciso que me digam, de que lado nasce o sol Porque bate lá o meu coração  Sonho e escrevo em letras grandes de novo pelos muros do país João, o tempo, andou mexendo com a gente sim John, eu não esqueço, a felicidade é uma arma quente Quente, quente Saia do meu caminho, eu prefiro andar sozinho Deixem que eu decido a minha vida Não preciso que me digam, de que lado nasce o sol Porque bate lá o meu coração Sob a luz do teu cigarro na cama Teu rosto rouge, teu batom me diz João, o tempo andou mexendo com a gente sim John, eu não esqueço (oh no, oh no), a felicidade é uma arma quente Quente, quente ",688,0.24642857142857136,0.6628571428571428,Positivo,"quente, saia, caminho, "
Como Nossos Pais,1,"Não quero lhe falar Meu grande amor Das coisas que aprendi Nos discos Quero lhe contar como eu vivi E tudo o que aconteceu comigo  Viver é melhor que sonhar Eu sei que o amor É uma coisa boa Mas também sei Que qualquer canto É menor do que a vida De qualquer pessoa Por isso cuidado, meu bem Há perigo na esquina Eles venceram e o sinal Está fechado pra nós Que somos jovens Para abraçar meu irmão E beijar minha menina na rua É que se fez o meu lábio O meu braço e a minha voz Você me pergunta Pela minha paixão Digo que estou encantado Como uma nova invenção Vou ficar nesta cidade Não vou voltar pro sertão Pois vejo vir vindo no vento O cheiro da nova estação E eu sinto tudo na ferida viva Do meu coração Já faz tempo E eu vi você na rua Cabelo ao vento Gente jovem reunida Na parede da memória Esta lembrança É o quadro que dói mais Minha dor é perceber Que apesar de termos Feito tudo, tudo, tudo Tudo o que fizemos Ainda somos os mesmos E vivemos Ainda somos os mesmos E vivemos Como os nossos pais Nossos ídolos Ainda são os mesmos E as aparências, as aparências Não enganam, não Você diz que depois deles Não apareceu mais ninguém Você pode até dizer Que eu estou por fora Ou então Que eu estou enganando Mas é você Que ama o passado E que não vê É você Que ama o passado E que não vê Que o novo sempre vem E hoje eu sei, eu sei Que quem me deu a ideia De uma nova consciência E juventude Está em casa Guardado por Deus Contando o seus metais Minha dor é perceber Que apesar de termos Feito tudo, tudo, tudo Tudo o que fizemos Ainda somos Os mesmos e vivemos Ainda somos Os mesmos e vivemos Ainda somos Os mesmos e vivemos Como os nossos pais ",1653,0.1602693602693603,0.38493265993266,Neutro,"tudo, ainda, mesmos, "
Como Se Fosse Pecado,0,"É claro que eu quero o clarão da lua. É claro que eu quero o branco no preto. Preciso, precisamos, da verdade nua e crua, Mas não vou remendar vosso soneto. (Batuco um canto concreto pra balançar o coreto.)  Por enquanto, o nosso canto é entre quatro paredes, como se fosse pecado, como se fosse mortal. Segredo humano, pro fundo das redes, tecendo a hora em que a aurora for geral. Por enquanto, estou crucificado e varado pela lança, que não cansa de ferir... Mas, neste bar do Oeste-Nodeste-Sul, falo cifrado: - Hello, bandidos! Bang! É hora de fugir. Mas, quando o canto for tão natural como o ato de amar, como andar, respirar, dar a vez à voz dos sentidos. Virgem Maria-dama do meu cabaré, quero gozar toda noite sobre tus pechos dormidos. Romã, romã quem dançar, quem deixar a mocidade louca, mas daquela loucura que aventura a estrada e a estrela do amanhã e aquela felicidade, arma quente. Quem haverá que aguente tanta mudez sem perder a saúde? (A palavra era um dom, era bom, era conosco, era uma vez...) Felicidade, arma quente, com coisa quente é que eu brinco. Take it easy, my brother Charles, Anjo 45! Tá qualquer coisa, meu irmão. Mas use o berro e o coração que a vida vem no fim mês... ",1205,0.18765625,0.5083333333333335,Neutro,"quero, canto, quente, "
